occupation,hierarchy_level,mechanism_of_death,deaths,population
"Combined food preparation and serving workers, including fast food",3,Total,11,"3,704"
"Combined food preparation and serving workers, including fast food",3,Cut/Pierce,7,"3,704"
"Combined food preparation and serving workers, including fast food",3,Motor Vehicle Traffic,0,"3,704"
"Combined food preparation and serving workers, including fast food",3,Fire/Flame,0,"3,704"
"Combined food preparation and serving workers, including fast food",3,Fall,0,"3,704"
"Combined food preparation and serving workers, including fast food",3,Poisoning,3,"3,704"
"Combined food preparation and serving workers, including fast food",3,Struck by or against,0,"3,704"
"Counter attendants, cafeteria, food concession, and coffee shop",3,Total,2,480
"Counter attendants, cafeteria, food concession, and coffee shop",3,Cut/Pierce,0,480
"Counter attendants, cafeteria, food concession, and coffee shop",3,Motor Vehicle Traffic,1,480
"Counter attendants, cafeteria, food concession, and coffee shop",3,Fire/Flame,0,480
"Counter attendants, cafeteria, food concession, and coffee shop",3,Fall,0,480
"Counter attendants, cafeteria, food concession, and coffee shop",3,Poisoning,0,480
"Counter attendants, cafeteria, food concession, and coffee shop",3,Struck by or against,0,480
Waiters and waitresses,2,Total,9,"2,635"
Waiters and waitresses,3,Total,9,"2,635"
Waiters and waitresses,2,Cut/Pierce,3,"2,635"
Waiters and waitresses,3,Cut/Pierce,3,"2,635"
Waiters and waitresses,2,Motor Vehicle Traffic,0,"2,635"
Waiters and waitresses,3,Motor Vehicle Traffic,0,"2,635"
Waiters and waitresses,2,Fire/Flame,0,"2,635"
Waiters and waitresses,3,Fire/Flame,0,"2,635"
Waiters and waitresses,2,Fall,0,"2,635"
Waiters and waitresses,3,Fall,0,"2,635"
Waiters and waitresses,2,Poisoning,4,"2,635"
Waiters and waitresses,3,Poisoning,4,"2,635"
Waiters and waitresses,2,Struck by or against,0,"2,635"
Waiters and waitresses,3,Struck by or against,0,"2,635"
Other food preparation and serving related workers,1,Total,7,"1,465"
Other food preparation and serving related workers,1,Cut/Pierce,3,"1,465"
Other food preparation and serving related workers,1,Motor Vehicle Traffic,0,"1,465"
Other food preparation and serving related workers,1,Fire/Flame,0,"1,465"
Other food preparation and serving related workers,1,Fall,0,"1,465"
Other food preparation and serving related workers,1,Poisoning,3,"1,465"
Other food preparation and serving related workers,1,Struck by or against,0,"1,465"
Dining room and cafeteria attendants and bartender helpers,2,Total,0,466
Dining room and cafeteria attendants and bartender helpers,3,Total,0,466
Dining room and cafeteria attendants and bartender helpers,2,Cut/Pierce,1,466
Dining room and cafeteria attendants and bartender helpers,3,Cut/Pierce,1,466
Dining room and cafeteria attendants and bartender helpers,2,Motor Vehicle Traffic,0,466
Dining room and cafeteria attendants and bartender helpers,3,Motor Vehicle Traffic,0,466
Dining room and cafeteria attendants and bartender helpers,2,Fire/Flame,0,466
Dining room and cafeteria attendants and bartender helpers,3,Fire/Flame,0,466
Dining room and cafeteria attendants and bartender helpers,2,Fall,0,466
Dining room and cafeteria attendants and bartender helpers,3,Fall,0,466
Dining room and cafeteria attendants and bartender helpers,2,Poisoning,0,466
Dining room and cafeteria attendants and bartender helpers,3,Poisoning,0,466
Dining room and cafeteria attendants and bartender helpers,2,Struck by or against,0,466
Dining room and cafeteria attendants and bartender helpers,3,Struck by or against,0,466
Dishwashers,2,Total,0,517
Dishwashers,3,Total,0,517
Dishwashers,2,Cut/Pierce,1,517
Dishwashers,3,Cut/Pierce,1,517
Dishwashers,2,Motor Vehicle Traffic,0,517
Dishwashers,3,Motor Vehicle Traffic,0,517
Dishwashers,2,Fire/Flame,0,517
Dishwashers,3,Fire/Flame,0,517
Dishwashers,2,Fall,0,517
Dishwashers,3,Fall,0,517
Dishwashers,2,Poisoning,0,517
Dishwashers,3,Poisoning,0,517
Dishwashers,2,Struck by or against,0,517
Dishwashers,3,Struck by or against,0,517
Building and grounds cleaning and maintenance occupations,0,Total,350,"5,757"
Building and grounds cleaning and maintenance occupations,0,Cut/Pierce,18,"5,757"
Building and grounds cleaning and maintenance occupations,0,Motor Vehicle Traffic,89,"5,757"
Building and grounds cleaning and maintenance occupations,0,Fire/Flame,0,"5,757"
Building and grounds cleaning and maintenance occupations,0,Fall,99,"5,757"
Building and grounds cleaning and maintenance occupations,0,Poisoning,74,"5,757"
Building and grounds cleaning and maintenance occupations,0,Struck by or against,67,"5,757"
Supervisors of building and grounds cleaning and maintenance workers,1,Total,59,445
Supervisors of building and grounds cleaning and maintenance workers,1,Cut/Pierce,0,445
Supervisors of building and grounds cleaning and maintenance workers,1,Motor Vehicle Traffic,18,445
Supervisors of building and grounds cleaning and maintenance workers,1,Fire/Flame,0,445
Supervisors of building and grounds cleaning and maintenance workers,1,Fall,20,445
Supervisors of building and grounds cleaning and maintenance workers,1,Poisoning,5,445
Supervisors of building and grounds cleaning and maintenance workers,1,Struck by or against,14,445
First-line supervisors of housekeeping and janitorial workers,3,Total,11,245
First-line supervisors of housekeeping and janitorial workers,3,Cut/Pierce,0,245
First-line supervisors of housekeeping and janitorial workers,3,Motor Vehicle Traffic,4,245
First-line supervisors of housekeeping and janitorial workers,3,Fire/Flame,0,245
First-line supervisors of housekeeping and janitorial workers,3,Fall,4,245
First-line supervisors of housekeeping and janitorial workers,3,Poisoning,0,245
First-line supervisors of housekeeping and janitorial workers,3,Struck by or against,0,245
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",3,Total,48,199
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",3,Cut/Pierce,1,199
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",3,Motor Vehicle Traffic,14,199
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",3,Fire/Flame,0,199
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",3,Fall,16,199
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",3,Poisoning,3,199
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",3,Struck by or against,14,199
Building cleaning and pest control workers,1,Total,66,"3,998"
Building cleaning and pest control workers,1,Cut/Pierce,9,"3,998"
Building cleaning and pest control workers,1,Motor Vehicle Traffic,13,"3,998"
Building cleaning and pest control workers,1,Fire/Flame,0,"3,998"
Building cleaning and pest control workers,1,Fall,23,"3,998"
Building cleaning and pest control workers,1,Poisoning,17,"3,998"
Building cleaning and pest control workers,1,Struck by or against,3,"3,998"
Building cleaning workers,2,Total,61,"3,914"
Building cleaning workers,2,Cut/Pierce,9,"3,914"
Building cleaning workers,2,Motor Vehicle Traffic,10,"3,914"
Building cleaning workers,2,Fire/Flame,0,"3,914"
Building cleaning workers,2,Fall,23,"3,914"
Building cleaning workers,2,Poisoning,15,"3,914"
Building cleaning workers,2,Struck by or against,3,"3,914"
"Janitors and cleaners, except maids and housekeeping cleaners",3,Total,48,"2,404"
"Janitors and cleaners, except maids and housekeeping cleaners",3,Cut/Pierce,6,"2,404"
"Janitors and cleaners, except maids and housekeeping cleaners",3,Motor Vehicle Traffic,10,"2,404"
"Janitors and cleaners, except maids and housekeeping cleaners",3,Fire/Flame,0,"2,404"
"Janitors and cleaners, except maids and housekeeping cleaners",3,Fall,19,"2,404"
"Janitors and cleaners, except maids and housekeeping cleaners",3,Poisoning,10,"2,404"
"Janitors and cleaners, except maids and housekeeping cleaners",3,Struck by or against,3,"2,404"
Maids and housekeeping cleaners,3,Total,10,"1,494"
Maids and housekeeping cleaners,3,Cut/Pierce,3,"1,494"
Maids and housekeeping cleaners,3,Motor Vehicle Traffic,0,"1,494"
Maids and housekeeping cleaners,3,Fire/Flame,0,"1,494"
Maids and housekeeping cleaners,3,Fall,0,"1,494"
Maids and housekeeping cleaners,3,Poisoning,4,"1,494"
Maids and housekeeping cleaners,3,Struck by or against,0,"1,494"
Pest control workers,2,Total,5,85
Pest control workers,3,Total,5,85
Pest control workers,2,Cut/Pierce,0,85
Pest control workers,3,Cut/Pierce,0,85
Pest control workers,2,Motor Vehicle Traffic,3,85
Pest control workers,3,Motor Vehicle Traffic,3,85
Pest control workers,2,Fire/Flame,0,85
Pest control workers,3,Fire/Flame,0,85
Pest control workers,2,Fall,0,85
Pest control workers,3,Fall,0,85
Pest control workers,2,Poisoning,0,85
Pest control workers,3,Poisoning,0,85
Pest control workers,2,Struck by or against,0,85
Pest control workers,3,Struck by or against,0,85
Grounds maintenance workers,1,Total,225,"1,314"
Grounds maintenance workers,2,Total,225,"1,314"
Grounds maintenance workers,1,Cut/Pierce,7,"1,314"
Grounds maintenance workers,2,Cut/Pierce,7,"1,314"
Grounds maintenance workers,1,Motor Vehicle Traffic,58,"1,314"
Grounds maintenance workers,2,Motor Vehicle Traffic,58,"1,314"
Grounds maintenance workers,1,Fire/Flame,0,"1,314"
Grounds maintenance workers,2,Fire/Flame,0,"1,314"
Grounds maintenance workers,1,Fall,56,"1,314"
Grounds maintenance workers,2,Fall,56,"1,314"
Grounds maintenance workers,1,Poisoning,52,"1,314"
Grounds maintenance workers,2,Poisoning,52,"1,314"
Grounds maintenance workers,1,Struck by or against,50,"1,314"
Grounds maintenance workers,2,Struck by or against,50,"1,314"
Landscaping and groundskeeping workers,3,Total,142,"1,205"
Landscaping and groundskeeping workers,3,Cut/Pierce,7,"1,205"
Landscaping and groundskeeping workers,3,Motor Vehicle Traffic,50,"1,205"
Landscaping and groundskeeping workers,3,Fire/Flame,0,"1,205"
Landscaping and groundskeeping workers,3,Fall,22,"1,205"
Landscaping and groundskeeping workers,3,Poisoning,35,"1,205"
Landscaping and groundskeeping workers,3,Struck by or against,26,"1,205"
"Pesticide handlers, sprayers, and applicators, vegetation",3,Total,1,36
"Pesticide handlers, sprayers, and applicators, vegetation",3,Cut/Pierce,0,36
"Pesticide handlers, sprayers, and applicators, vegetation",3,Motor Vehicle Traffic,1,36
"Pesticide handlers, sprayers, and applicators, vegetation",3,Fire/Flame,0,36
"Pesticide handlers, sprayers, and applicators, vegetation",3,Fall,0,36
"Pesticide handlers, sprayers, and applicators, vegetation",3,Poisoning,0,36
"Pesticide handlers, sprayers, and applicators, vegetation",3,Struck by or against,0,36
Tree trimmers and pruners,3,Total,77,56
Tree trimmers and pruners,3,Cut/Pierce,0,56
Tree trimmers and pruners,3,Motor Vehicle Traffic,4,56
Tree trimmers and pruners,3,Fire/Flame,0,56
Tree trimmers and pruners,3,Fall,33,56
Tree trimmers and pruners,3,Poisoning,17,56
Tree trimmers and pruners,3,Struck by or against,23,56
Personal care and service occupations,0,Total,63,"7,117"
Personal care and service occupations,0,Cut/Pierce,25,"7,117"
Personal care and service occupations,0,Motor Vehicle Traffic,17,"7,117"
Personal care and service occupations,0,Fire/Flame,0,"7,117"
Personal care and service occupations,0,Fall,4,"7,117"
Personal care and service occupations,0,Poisoning,13,"7,117"
Personal care and service occupations,0,Struck by or against,4,"7,117"
Supervisors of personal care and service workers,1,Total,3,352
Supervisors of personal care and service workers,1,Cut/Pierce,0,352
Supervisors of personal care and service workers,1,Motor Vehicle Traffic,0,352
Supervisors of personal care and service workers,1,Fire/Flame,0,352
Supervisors of personal care and service workers,1,Fall,0,352
Supervisors of personal care and service workers,1,Poisoning,0,352
Supervisors of personal care and service workers,1,Struck by or against,0,352
First-line supervisors of personal service workers,2,Total,3,302
First-line supervisors of personal service workers,3,Total,3,302
First-line supervisors of personal service workers,2,Cut/Pierce,0,302
First-line supervisors of personal service workers,3,Cut/Pierce,0,302
First-line supervisors of personal service workers,2,Motor Vehicle Traffic,0,302
First-line supervisors of personal service workers,3,Motor Vehicle Traffic,0,302
First-line supervisors of personal service workers,2,Fire/Flame,0,302
First-line supervisors of personal service workers,3,Fire/Flame,0,302
First-line supervisors of personal service workers,2,Fall,0,302
First-line supervisors of personal service workers,3,Fall,0,302
First-line supervisors of personal service workers,2,Poisoning,0,302
First-line supervisors of personal service workers,3,Poisoning,0,302
First-line supervisors of personal service workers,2,Struck by or against,0,302
First-line supervisors of personal service workers,3,Struck by or against,0,302
Animal care and service workers,1,Total,12,331
Animal care and service workers,1,Cut/Pierce,6,331
Animal care and service workers,1,Motor Vehicle Traffic,4,331
Animal care and service workers,1,Fire/Flame,0,331
Animal care and service workers,1,Fall,0,331
Animal care and service workers,1,Poisoning,0,331
Animal care and service workers,1,Struck by or against,0,331
Animal trainers,2,Total,5,45
Animal trainers,3,Total,5,45
Animal trainers,2,Cut/Pierce,0,45
Animal trainers,3,Cut/Pierce,0,45
Animal trainers,2,Motor Vehicle Traffic,0,45
Animal trainers,3,Motor Vehicle Traffic,0,45
Animal trainers,2,Fire/Flame,0,45
Animal trainers,3,Fire/Flame,0,45
Animal trainers,2,Fall,0,45
Animal trainers,3,Fall,0,45
Animal trainers,2,Poisoning,0,45
Animal trainers,3,Poisoning,0,45
Animal trainers,2,Struck by or against,0,45
Animal trainers,3,Struck by or against,0,45
Nonfarm animal caretakers,2,Total,7,286
Nonfarm animal caretakers,3,Total,7,286
Nonfarm animal caretakers,2,Cut/Pierce,4,286
Nonfarm animal caretakers,3,Cut/Pierce,4,286
Nonfarm animal caretakers,2,Motor Vehicle Traffic,0,286
Nonfarm animal caretakers,3,Motor Vehicle Traffic,0,286
Nonfarm animal caretakers,2,Fire/Flame,0,286
Nonfarm animal caretakers,3,Fire/Flame,0,286
Nonfarm animal caretakers,2,Fall,0,286
Nonfarm animal caretakers,3,Fall,0,286
Nonfarm animal caretakers,2,Poisoning,0,286
Nonfarm animal caretakers,3,Poisoning,0,286
Nonfarm animal caretakers,2,Struck by or against,0,286
Nonfarm animal caretakers,3,Struck by or against,0,286
Entertainment attendants and related workers,1,Total,7,628
Entertainment attendants and related workers,1,Cut/Pierce,4,628
Entertainment attendants and related workers,1,Motor Vehicle Traffic,0,628
Entertainment attendants and related workers,1,Fire/Flame,0,628
Entertainment attendants and related workers,1,Fall,0,628
Entertainment attendants and related workers,1,Poisoning,1,628
