occupation,hierarchy_level,mechanism_of_death,deaths,population
Engineers,1,Total,20,"1,779"
Engineers,1,Cut/Pierce,0,"1,779"
Engineers,1,Motor Vehicle Traffic,12,"1,779"
Engineers,1,Fire/Flame,1,"1,779"
Engineers,1,Fall,4,"1,779"
Engineers,1,Poisoning,0,"1,779"
Engineers,1,Struck by or against,0,"1,779"
Civil engineers,2,Total,3,327
Civil engineers,3,Total,3,327
Civil engineers,2,Cut/Pierce,0,327
Civil engineers,3,Cut/Pierce,0,327
Civil engineers,2,Motor Vehicle Traffic,0,327
Civil engineers,3,Motor Vehicle Traffic,0,327
Civil engineers,2,Fire/Flame,0,327
Civil engineers,3,Fire/Flame,0,327
Civil engineers,2,Fall,1,327
Civil engineers,3,Fall,1,327
Civil engineers,2,Poisoning,0,327
Civil engineers,3,Poisoning,0,327
Civil engineers,2,Struck by or against,0,327
Civil engineers,3,Struck by or against,0,327
Electrical and electronics engineers,2,Total,4,330
Electrical and electronics engineers,2,Cut/Pierce,0,330
Electrical and electronics engineers,2,Motor Vehicle Traffic,0,330
Electrical and electronics engineers,2,Fire/Flame,0,330
Electrical and electronics engineers,2,Fall,0,330
Electrical and electronics engineers,2,Poisoning,0,330
Electrical and electronics engineers,2,Struck by or against,0,330
Electrical engineers,3,Total,3,192
Electrical engineers,3,Cut/Pierce,0,192
Electrical engineers,3,Motor Vehicle Traffic,0,192
Electrical engineers,3,Fire/Flame,0,192
Electrical engineers,3,Fall,0,192
Electrical engineers,3,Poisoning,0,192
Electrical engineers,3,Struck by or against,0,192
Materials engineers,2,Total,2,28
Materials engineers,3,Total,2,28
Materials engineers,2,Cut/Pierce,0,28
Materials engineers,3,Cut/Pierce,0,28
Materials engineers,2,Motor Vehicle Traffic,1,28
Materials engineers,3,Motor Vehicle Traffic,1,28
Materials engineers,2,Fire/Flame,0,28
Materials engineers,3,Fire/Flame,0,28
Materials engineers,2,Fall,0,28
Materials engineers,3,Fall,0,28
Materials engineers,2,Poisoning,0,28
Materials engineers,3,Poisoning,0,28
Materials engineers,2,Struck by or against,0,28
Materials engineers,3,Struck by or against,0,28
Mechanical engineers,2,Total,5,313
Mechanical engineers,3,Total,5,313
Mechanical engineers,2,Cut/Pierce,0,313
Mechanical engineers,3,Cut/Pierce,0,313
Mechanical engineers,2,Motor Vehicle Traffic,0,313
Mechanical engineers,3,Motor Vehicle Traffic,0,313
Mechanical engineers,2,Fire/Flame,1,313
Mechanical engineers,3,Fire/Flame,1,313
Mechanical engineers,2,Fall,0,313
Mechanical engineers,3,Fall,0,313
Mechanical engineers,2,Poisoning,0,313
Mechanical engineers,3,Poisoning,0,313
Mechanical engineers,2,Struck by or against,0,313
Mechanical engineers,3,Struck by or against,0,313
"Mining and geological engineers, including mining safety engineers",2,Total,1,6
"Mining and geological engineers, including mining safety engineers",3,Total,1,6
"Mining and geological engineers, including mining safety engineers",2,Cut/Pierce,0,6
"Mining and geological engineers, including mining safety engineers",3,Cut/Pierce,0,6
"Mining and geological engineers, including mining safety engineers",2,Motor Vehicle Traffic,0,6
"Mining and geological engineers, including mining safety engineers",3,Motor Vehicle Traffic,0,6
"Mining and geological engineers, including mining safety engineers",2,Fire/Flame,0,6
"Mining and geological engineers, including mining safety engineers",3,Fire/Flame,0,6
"Mining and geological engineers, including mining safety engineers",2,Fall,0,6
